group_id,group_type,is_keeper,file,size_bytes,mtime,project,subfolder,md5_or_size
18,exact_md5,YES,/Users/sunniyaremchuk/ApplicationStatusReport (1).pdf,126968,1767818486,,,f7780a4bb8
18,exact_md5,no,/Users/sunniyaremchuk/ApplicationStatusReport.pdf,126968,1766530003,,,f7780a4bb8
19,exact_md5,YES,/Users/sunniyaremchuk/Pro-forma Allendale 5 Unit  (1).xlsx,8888,1773944272,Allendale,Financials,d2428c472c
19,exact_md5,no,/Users/sunniyaremchuk/Pro-forma Allendale 5 Unit .xlsx,8888,1773673942,Allendale,Financials,d2428c472c
20,exact_md5,YES,/Users/sunniyaremchuk/Sage Way Okotoks - Development Permit (1).pdf,5560173,1771531415,,Plans & Permits,450e3a0031
20,exact_md5,no,/Users/sunniyaremchuk/Sage Way Okotoks - Development Permit.pdf,5560173,1768602378,,Plans & Permits,450e3a0031
21,exact_md5,YES,/Users/sunniyaremchuk/10612 - 127 STREET NW - Schedule A - Plans (1).pdf,1376497,1768674341,10612 127 Street,Contracts,80da2480cc
21,exact_md5,no,/Users/sunniyaremchuk/10612 - 127 STREET NW - Schedule A - Plans.pdf,1376497,1767728677,10612 127 Street,Contracts,80da2480cc
22,exact_md5,YES,/Users/sunniyaremchuk/10612 - 127 STREET NW- Schedule M - Project Utility Metering (2).pdf,214817,1768674399,10612 127 Street,Contracts,eebe907885
22,exact_md5,no,/Users/sunniyaremchuk/10612 - 127 STREET NW- Schedule M - Project Utility Metering (1).pdf,214817,1768538415,10612 127 Street,Contracts,eebe907885
22,exact_md5,no,/Users/sunniyaremchuk/10612 - 127 STREET NW- Schedule M - Project Utility Metering.pdf,214817,1767728733,10612 127 Street,Contracts,eebe907885
23,exact_md5,YES,/Users/sunniyaremchuk/Purchase_Contract_(10315) (1).pdf,479928,1770665573,,,1e6d8ddf2d
23,exact_md5,no,/Users/sunniyaremchuk/Purchase_Contract_(10315).pdf,479928,1770235344,,,1e6d8ddf2d
24,exact_md5,YES,/Users/sunniyaremchuk/Building Permit 564496862-006 (2).pdf,203442,1767561821,,Plans & Permits,8091920154
24,exact_md5,no,/Users/sunniyaremchuk/Building Permit 564496862-006 (1).pdf,203442,1766771875,,Plans & Permits,8091920154
24,exact_md5,no,/Users/sunniyaremchuk/Building Permit 564496862-006.pdf,203442,1766529993,,Plans & Permits,8091920154
25,exact_md5,YES,/Users/sunniyaremchuk/Grants (1).docx,296414,1771363264,,,8e99f4ea1d
25,exact_md5,no,/Users/sunniyaremchuk/Grants.docx,296414,1771352370,,,8e99f4ea1d
26,exact_md5,YES,/Users/sunniyaremchuk/10612 - 127 STREET NW- Addendum (2).pdf,303223,1768674370,10612 127 Street,Contracts,17589ca53b
26,exact_md5,no,/Users/sunniyaremchuk/10612 - 127 STREET NW- Addendum (1).pdf,303223,1768538331,10612 127 Street,Contracts,17589ca53b
26,exact_md5,no,/Users/sunniyaremchuk/10612 - 127 STREET NW- Addendum.pdf,303223,1767728705,10612 127 Street,Contracts,17589ca53b
27,exact_md5,YES,/Users/sunniyaremchuk/Jasper Place 9121 152 St  LOI - Revised - February 4 2026 (3).pdf,289580,1773156672,9121 152,,8eae9b8dae
27,exact_md5,no,/Users/sunniyaremchuk/Jasper Place 9121 152 St  LOI - Revised - February 4 2026 (2).pdf,289580,1772635598,9121 152,,8eae9b8dae
27,exact_md5,no,/Users/sunniyaremchuk/Jasper Place 9121 152 St  LOI - Revised - February 4 2026.pdf,289580,1770748921,9121 152,,8eae9b8dae
28,exact_md5,YES,/Users/sunniyaremchuk/Commercial Purchase Contract (1) (2) (2).pdf,161272,1768877181,,Contracts,d7a588e177
28,exact_md5,no,/Users/sunniyaremchuk/Commercial Purchase Contract (1) (2) (1).pdf,161272,1768849850,,Contracts,d7a588e177
28,exact_md5,no,/Users/sunniyaremchuk/Commercial Purchase Contract (1) (2).pdf,161272,1768681389,,Contracts,d7a588e177
29,exact_md5,YES,/Users/sunniyaremchuk/75' Wide 3 Plex - 1298 SF - Front Elevation (1).jpg,847870,1767765029,,Photos,e372ae93ff
29,exact_md5,no,/Users/sunniyaremchuk/75' Wide 3 Plex - 1298 SF - Front Elevation.jpg,847870,1767233913,,Photos,e372ae93ff
30,exact_md5,YES,/Users/sunniyaremchuk/Development Decision 564496862-002 (1).pdf,317491,1766771866,,,05ff940f72
30,exact_md5,no,/Users/sunniyaremchuk/Development Decision 564496862-002.pdf,317491,1766530217,,,05ff940f72
30,exact_md5,no,/Users/sunniyaremchuk/Documents/Development Decision 564496862-002.pdf,317491,1766017884,,,05ff940f72
31,exact_md5,YES,/Users/sunniyaremchuk/Invoice Assignment Fee 10612 127 St  (2).pdf,27884,1771254271,10612 127,Contracts,3d30578209
31,exact_md5,no,/Users/sunniyaremchuk/Invoice Assignment Fee 10612 127 St  (1).pdf,27884,1770228367,10612 127,Contracts,3d30578209
31,exact_md5,no,/Users/sunniyaremchuk/Invoice Assignment Fee 10612 127 St .pdf,27884,1770227778,10612 127,Contracts,3d30578209
32,exact_md5,YES,/Users/sunniyaremchuk/6408_106_St_TRUE_Soft_Costs_Only (1).xlsx,5696,1767818534,6408 106,,3dcffb5747
32,exact_md5,no,/Users/sunniyaremchuk/Documents/6408_106_St_TRUE_Soft_Costs_Only.xlsx,5696,1766186714,6408 106,,3dcffb5747
33,exact_md5,YES,/Users/sunniyaremchuk/Schedule_D_Project_Utility_Metering (2).pdf,8027,1768877213,,,5e9feed91a
33,exact_md5,no,/Users/sunniyaremchuk/Schedule_D_Project_Utility_Metering (1).pdf,8027,1768676064,,,5e9feed91a
34,exact_md5,YES,/Users/sunniyaremchuk/Ltr -Contract termination Allendale 5plex (1).pdf,219458,1767737407,Allendale,Contracts,4da1a7881a
34,exact_md5,no,/Users/sunniyaremchuk/Ltr -Contract termination Allendale 5plex.pdf,219458,1767737000,Allendale,Contracts,4da1a7881a
35,exact_md5,YES,/Users/sunniyaremchuk/3-13862-16645.pdf,61223,1773079218,,,866e5a9075
35,exact_md5,no,/Users/sunniyaremchuk/Downloads/Developemts/Allendale 1/QS Report 3-13862-16645.pdf,61223,1764744336,,,866e5a9075
36,exact_md5,YES,/Users/sunniyaremchuk/Jasper Park Budget v3 (1).xlsx,36040,1773432579,Jasper Park,Financials,f5c80cee41
36,exact_md5,no,/Users/sunniyaremchuk/Jasper Park Budget .xlsx,36040,1773156194,Jasper Park,Financials,f5c80cee41
36,exact_md5,no,/Users/sunniyaremchuk/Jasper Park Budget v3.xlsx,36040,1773156146,Jasper Park,Financials,f5c80cee41
37,exact_md5,YES,/Users/sunniyaremchuk/Development Pro Forma - Sage Way Okotoks Jan 2026 (1).xlsx,89841,1769402827,,Financials,9a5940d01f
37,exact_md5,no,/Users/sunniyaremchuk/Development Pro Forma - Sage Way Okotoks Jan 2026.xlsx,89841,1769022973,,Financials,9a5940d01f
38,exact_md5,YES,/Users/sunniyaremchuk/CCDC2 BLANK (1) (1).pdf,706133,1766527772,,,481f7551e2
38,exact_md5,no,/Users/sunniyaremchuk/CCDC2 BLANK (1).pdf,706133,1766527731,,,481f7551e2
39,exact_md5,YES,/Users/sunniyaremchuk/PNW_Statement_Loren_ready_to_fill (1).xlsx,57787,1767907469,,,a9d495040e
39,exact_md5,no,/Users/sunniyaremchuk/PNW_Statement_Loren_ready_to_fill.xlsx,57787,1767907453,,,a9d495040e
40,exact_md5,YES,/Users/sunniyaremchuk/75' Wide 3 Plex - 1298 SF - Main Floor (1).jpg,664724,1767765020,,Photos,8396fcbff3
40,exact_md5,no,/Users/sunniyaremchuk/75' Wide 3 Plex - 1298 SF - Main Floor.jpg,664724,1767233902,,Photos,8396fcbff3
41,exact_md5,YES,/Users/sunniyaremchuk/Jasper Place 9121 152 St  LOI - Revised - February 4 2026 (1) (1).pdf,410496,1773094965,9121 152,,179061000f
41,exact_md5,no,/Users/sunniyaremchuk/Downloads/Developemts/Jasper Park /Jasper Place 9121 152 St  LOI - Revised - February 4 2026 (1).pdf,410496,1772836402,9121 152,,179061000f
41,exact_md5,no,/Users/sunniyaremchuk/Downloads/Developemts/Jasper Park /Jasper Place 9121 152 St  LOI - Revised - February 4 2026.pdf,410496,1772656162,9121 152,,179061000f
41,exact_md5,no,/Users/sunniyaremchuk/Jasper Place 9121 152 St  LOI - Revised - February 4 2026 (1).pdf,410496,1771082777,9121 152,,179061000f
42,exact_md5,YES,/Users/sunniyaremchuk/10612 - 127 STREET NW- Rebate Agreement (2).pdf,364541,1768674385,10612 127 Street,Contracts,6e368d20e9
42,exact_md5,no,/Users/sunniyaremchuk/10612 - 127 STREET NW- Rebate Agreement (1).pdf,364541,1768538367,10612 127 Street,Contracts,6e368d20e9
42,exact_md5,no,/Users/sunniyaremchuk/10612 - 127 STREET NW- Rebate Agreement.pdf,364541,1767728720,10612 127 Street,Contracts,6e368d20e9
43,exact_md5,YES,/Users/sunniyaremchuk/Shareholder-Resolution-Dispensing-with-Auditor.pdf,34852,1767902230,,Investor Docs,e57bb793ea
43,exact_md5,no,/Users/sunniyaremchuk/Documents/Shareholder-Resolution-Dispensing-with-Auditor.pdf,34852,1766470889,,Investor Docs,e57bb793ea
44,exact_md5,YES,/Users/sunniyaremchuk/E2025-07-CI-001 Allendale Billing #1 - 26_08_2025.pdf,98490,1767737396,Allendale,,00c04f28ee
44,exact_md5,no,/Users/sunniyaremchuk/Documents/E2025-07-CI-001 Allendale Billing #1 - 26_08_2025 (2) (2).pdf,98490,1766177179,Allendale,,00c04f28ee
44,exact_md5,no,/Users/sunniyaremchuk/Documents/E2025-07-CI-001 Allendale Billing #1 - 26_08_2025 (2) (1).pdf,98490,1766177159,Allendale,,00c04f28ee
44,exact_md5,no,/Users/sunniyaremchuk/Documents/E2025-07-CI-001 Allendale Billing #1 - 26_08_2025 (2).pdf,98490,1766176894,Allendale,,00c04f28ee
44,exact_md5,no,/Users/sunniyaremchuk/Documents/E2025-07-CI-001 Allendale Billing #1 - 26_08_2025 (1).pdf,98490,1766162899,Allendale,,00c04f28ee
44,exact_md5,no,/Users/sunniyaremchuk/Documents/E2025-07-CI-001 Allendale Billing #1 - 26_08_2025.pdf,98490,1766035480,Allendale,,00c04f28ee
45,exact_md5,YES,/Users/sunniyaremchuk/Term Sheet 6408 106 St.pdf,1028828,1767737402,6408 106,,97d485812f
45,exact_md5,no,/Users/sunniyaremchuk/Downloads/Developemts/Allendale 1/Term Sheet 6408 106 St.pdf,1028828,1765248662,6408 106,,97d485812f
46,exact_md5,YES,/Users/sunniyaremchuk/Peakhill Commitment Letter 6408 106 St (1).pdf,465100,1767842796,6408 106,,254e058a7a
46,exact_md5,no,/Users/sunniyaremchuk/Peakhill Commitment Letter 6408 106 St.pdf,465100,1767762382,6408 106,,254e058a7a
46,exact_md5,no,/Users/sunniyaremchuk/Downloads/Developemts/Allendale 1/Peakhill Commitment Letter 6408 106 St (1).pdf,465100,1765316847,6408 106,,254e058a7a
46,exact_md5,no,/Users/sunniyaremchuk/Downloads/commitmentletter6408106st/Peakhill Commitment Letter 6408 106 St.pdf,465100,1765231810,6408 106,,254e058a7a
46,exact_md5,no,/Users/sunniyaremchuk/Downloads/commitmentletter6408106st 2/Peakhill Commitment Letter 6408 106 St.pdf,465100,1765231810,6408 106,,254e058a7a
46,exact_md5,no,/Users/sunniyaremchuk/Downloads/Developemts/Allendale 1/commitmentletter6408106st 3/Peakhill Commitment Letter 6408 106 St.pdf,465100,1765231810,6408 106,,254e058a7a
47,exact_md5,YES,/Users/sunniyaremchuk/Schedule_F_GST_Rebate_Agreement_Simple_Filled_2337k (1).pdf,2860,1768877254,,,f563df6d7a
47,exact_md5,no,/Users/sunniyaremchuk/Schedule_F_GST_Rebate_Agreement_Simple_Filled_2337k.pdf,2860,1768678705,,,f563df6d7a
48,exact_md5,YES,/Users/sunniyaremchuk/Downloads/Developemts/Jasper Park /9121 152 ST WDV.4.pdf,2004510,1772656077,9121 152,,a7605f1e54
48,exact_md5,no,/Users/sunniyaremchuk/9121 152 ST WDV.4.pdf,2004510,1769460262,9121 152,,a7605f1e54
49,exact_md5,YES,/Users/sunniyaremchuk/image001.png,22242,1767817995,,Photos,ef2860ceda
49,exact_md5,no,/Users/sunniyaremchuk/Documents/image001.png,22242,1766472248,,Photos,ef2860ceda
50,exact_md5,YES,/Users/sunniyaremchuk/6408 106 St Allendale - 003.pdf,416008,1774234640,Allendale,,b68242212e
50,exact_md5,no,/Users/sunniyaremchuk/Downloads/Developemts/Allendale 1/6408 106 St Allendale - 003.pdf,416008,1771985145,Allendale,,b68242212e
51,exact_md5,YES,/Users/sunniyaremchuk/15014 5-Unit Complex 6408 106 St Allendale DRAFT.pdf,4811156,1773953481,Allendale,,e55be6b848
51,exact_md5,no,/Users/sunniyaremchuk/Downloads/Developemts/Allendale 1/15014 5-Unit Complex 6408 106 St Allendale DRAFT.pdf,4811156,1772918922,Allendale,,e55be6b848
52,exact_md5,YES,/Users/sunniyaremchuk/BillStatement_342097 (1).pdf,102953,1768785832,,,e4e3a97b52
52,exact_md5,no,/Users/sunniyaremchuk/BillStatement_342097.pdf,102953,1768509712,,,e4e3a97b52
53,exact_md5,YES,/Users/sunniyaremchuk/CMLS Invoice - COI Placement Fee.pdf,487429,1767842799,,Financials,d601fe8210
53,exact_md5,no,/Users/sunniyaremchuk/Downloads/Developemts/Allendale 1/CMLS Invoice - COI Placement Fee.pdf,487429,1765316859,,Financials,d601fe8210
53,exact_md5,no,/Users/sunniyaremchuk/Downloads/commitmentletter6408106st/CMLS Invoice - COI Placement Fee.pdf,487429,1765231810,,Financials,d601fe8210
53,exact_md5,no,/Users/sunniyaremchuk/Downloads/commitmentletter6408106st 2/CMLS Invoice - COI Placement Fee.pdf,487429,1765231810,,Financials,d601fe8210
53,exact_md5,no,/Users/sunniyaremchuk/Downloads/Developemts/Allendale 1/commitmentletter6408106st 3/CMLS Invoice - COI Placement Fee.pdf,487429,1765231810,,Financials,d601fe8210
54,exact_md5,YES,/Users/sunniyaremchuk/75' Wide 3 Plex - 1298 SF - BDP (1).jpg,619715,1767765026,,Photos,0e103ff00b
54,exact_md5,no,/Users/sunniyaremchuk/75' Wide 3 Plex - 1298 SF - BDP.jpg,619715,1767233909,,Photos,0e103ff00b
55,exact_md5,YES,/Users/sunniyaremchuk/Commercial Purchase Contract (1).pdf,156877,1768674144,,Contracts,4e18cd925a
55,exact_md5,no,/Users/sunniyaremchuk/Commercial Purchase Contract.pdf,156877,1768538772,,Contracts,4e18cd925a
56,exact_md5,YES,/Users/sunniyaremchuk/24-48 Fee-Invoice status as of 25-09-15.pdf,51070,1767737540,,Financials,017f92895d
56,exact_md5,no,/Users/sunniyaremchuk/Documents/24-48 Fee-Invoice status as of 25-09-15 (004) (2) (3).pdf,51070,1766177170,,Financials,017f92895d
56,exact_md5,no,/Users/sunniyaremchuk/Documents/24-48 Fee-Invoice status as of 25-09-15 (004) (2) (2).pdf,51070,1766177148,,Financials,017f92895d
56,exact_md5,no,/Users/sunniyaremchuk/Documents/24-48 Fee-Invoice status as of 25-09-15 (3) (1).pdf,51070,1766177113,,Financials,017f92895d
56,exact_md5,no,/Users/sunniyaremchuk/Documents/24-48 Fee-Invoice status as of 25-09-15 (004) (2) (1).pdf,51070,1766177092,,Financials,017f92895d
56,exact_md5,no,/Users/sunniyaremchuk/Documents/24-48 Fee-Invoice status as of 25-09-15 (004) (2).pdf,51070,1766176951,,Financials,017f92895d
56,exact_md5,no,/Users/sunniyaremchuk/Documents/24-48 Fee-Invoice status as of 25-09-15 (3).pdf,51070,1766176914,,Financials,017f92895d
56,exact_md5,no,/Users/sunniyaremchuk/Documents/24-48 Fee-Invoice status as of 25-09-15 (2).pdf,51070,1766162950,,Financials,017f92895d
56,exact_md5,no,/Users/sunniyaremchuk/Documents/24-48 Fee-Invoice status as of 25-09-15 (1).pdf,51070,1766162918,,Financials,017f92895d
56,exact_md5,no,/Users/sunniyaremchuk/Documents/24-48 Fee-Invoice status as of 25-09-15 (004) (1).pdf,51070,1766162834,,Financials,017f92895d
56,exact_md5,no,/Users/sunniyaremchuk/Documents/24-48 Fee-Invoice status as of 25-09-15.pdf,51070,1766035488,,Financials,017f92895d
56,exact_md5,no,/Users/sunniyaremchuk/Documents/24-48 Fee-Invoice status as of 25-09-15 (004).pdf,51070,1766035463,,Financials,017f92895d
57,exact_md5,YES,/Users/sunniyaremchuk/Meta Proforma Sheet.pdf,486281,1767829888,,Financials,4402e2770f
57,exact_md5,no,/Users/sunniyaremchuk/Downloads/Landridge/Meta Proforma Sheet.pdf,486281,1765994502,,Financials,4402e2770f
58,exact_md5,YES,/Users/sunniyaremchuk/15981 110B Ave NW Term Sheet (1).pdf,3542423,1769123901,15981 110B Ave,,3b2403eef1
58,exact_md5,no,/Users/sunniyaremchuk/15981 110B Ave NW Term Sheet.pdf,3542423,1768849462,15981 110B Ave,,3b2403eef1
59,exact_md5,YES,/Users/sunniyaremchuk/E2025-07-CI-003 Allendale Claim 2 24_11_2025.pdf,101918,1767737422,Allendale,,030db90288
59,exact_md5,no,/Users/sunniyaremchuk/Documents/E2025-07-CI-003 Allendale Claim 2 24_11_2025 (2) (2).pdf,101918,1766177265,Allendale,,030db90288
59,exact_md5,no,/Users/sunniyaremchuk/Documents/E2025-07-CI-003 Allendale Claim 2 24_11_2025 (2) (1).pdf,101918,1766177101,Allendale,,030db90288
59,exact_md5,no,/Users/sunniyaremchuk/Documents/E2025-07-CI-003 Allendale Claim 2 24_11_2025 (3).pdf,101918,1766176928,Allendale,,030db90288
59,exact_md5,no,/Users/sunniyaremchuk/Documents/E2025-07-CI-003 Allendale Claim 2 24_11_2025 (2).pdf,101918,1766176921,Allendale,,030db90288
59,exact_md5,no,/Users/sunniyaremchuk/Documents/E2025-07-CI-003 Allendale Claim 2 24_11_2025 (1).pdf,101918,1766162909,Allendale,,030db90288
59,exact_md5,no,/Users/sunniyaremchuk/Documents/E2025-07-CI-003 Allendale Claim 2 24_11_2025.pdf,101918,1766035492,Allendale,,030db90288
60,exact_md5,YES,/Users/sunniyaremchuk/CCDC Allendale Evara Project 6408 106 St.pdf,618922,1767737418,Allendale,,bc332c1da3
60,exact_md5,no,/Users/sunniyaremchuk/Documents/CCDC Allendale Evara Project 6408 106 St.pdf,618922,1766034898,Allendale,,bc332c1da3
61,exact_md5,YES,/Users/sunniyaremchuk/10612 - 127 STREET NW - Schedule R - Rental Guarantee Acknowledgment (1).pdf,208861,1768674346,10612 127 Street,Contracts,64e87d652f
61,exact_md5,no,/Users/sunniyaremchuk/10612 - 127 STREET NW - Schedule R - Rental Guarantee Acknowledgment.pdf,208861,1767728690,10612 127 Street,Contracts,64e87d652f
62,exact_md5,YES,/Users/sunniyaremchuk/Downloads/Allendale         10646 61 Ave /10646 61 Ave Allendale 6 Plex - 003 (1).pdf,425551,1772656418,Allendale,,d16da45cb7
62,exact_md5,no,/Users/sunniyaremchuk/10646 61 Ave Allendale 6 Plex - 003.pdf,425551,1772595750,Allendale,,d16da45cb7
62,exact_md5,no,/Users/sunniyaremchuk/Downloads/Allendale         10646 61 Ave /10646 61 Ave Allendale 6 Plex - 003.pdf,425551,1772561701,Allendale,,d16da45cb7
63,exact_md5,YES,/Users/sunniyaremchuk/alberta_permits_starter.zip,9845,1766277782,,,362f8ea788
63,exact_md5,no,/Users/sunniyaremchuk/Documents/alberta_permits_starter.zip,9845,1766277688,,,362f8ea788
64,exact_md5,YES,/Users/sunniyaremchuk/Driver's License Ana.jpg,874946,1768679279,,Photos,f7a7172047
64,exact_md5,no,/Users/sunniyaremchuk/Front.jpg,874946,1768676435,,Photos,f7a7172047
65,exact_md5,YES,/Users/sunniyaremchuk/CMHC presentation draft 1-2.pdf,18815556,1766541889,,Financials,fac336a46f
65,exact_md5,no,/Users/sunniyaremchuk/Documents/CMHC presentation draft 1-2.pdf,18815556,1766083822,,Financials,fac336a46f
66,exact_md5,YES,/Users/sunniyaremchuk/HSFC_PNW_filled_Loren (1) (1) (1).pdf,458568,1767984333,,,c31a31b4f1
66,exact_md5,no,/Users/sunniyaremchuk/HSFC_PNW_filled_Loren (1) (1).pdf,458568,1767910243,,,c31a31b4f1
66,exact_md5,no,/Users/sunniyaremchuk/HSFC_PNW_filled_Loren (1).pdf,458568,1767909649,,,c31a31b4f1
67,exact_md5,YES,/Users/sunniyaremchuk/Allendale_Investment_Proposal_.docx,31637,1768322094,Allendale,,74abe3a87d
67,exact_md5,no,/Users/sunniyaremchuk/Allendale_Investment_Proposal_50-50_JV.docx,31637,1767814234,Allendale,,74abe3a87d
