current_path,status,project,subfolder,proposed_target,size_bytes,mtime
/Users/sunniyaremchuk/10612 - 127 STREET NW- Landridge Homes-Sales Contract (2).pdf,duplicate,10612 127 Street,(_Duplicates),/Users/sunniyaremchuk/RealEstate_Organized/_Duplicates/10612 127 Street/10612 - 127 STREET NW- Landridge Homes-Sales Contract (2).pdf,1022641,1768674378
/Users/sunniyaremchuk/B&H_Founders_Agreement.pdf,unique,,,/Users/sunniyaremchuk/RealEstate_Organized/_NeedsReview/B&H_Founders_Agreement.pdf,2452,1770851265
/Users/sunniyaremchuk/Invoice Finders Fee 10801 & 10805.pdf,unique,,Financials,/Users/sunniyaremchuk/RealEstate_Organized/_Library/Financials/Invoice Finders Fee 10801 & 10805.pdf,28310,1770228137
/Users/sunniyaremchuk/Allendale Investment_Summary.docx,duplicate,Allendale,(_Duplicates),/Users/sunniyaremchuk/RealEstate_Organized/_Duplicates/Allendale/Allendale Investment_Summary.docx,17082,1773778488
/Users/sunniyaremchuk/Schedule_G_Completion_Addendum_Q1_2027_DepositRelease (2).pdf,primary,,,/Users/sunniyaremchuk/RealEstate_Organized/_NeedsReview/Schedule_G_Completion_Addendum_Q1_2027_DepositRelease (2).pdf,5607,1768877275
/Users/sunniyaremchuk/75' Wide 3 Plex - 1298 SF - Second Floor.jpg,duplicate,,(_Duplicates),/Users/sunniyaremchuk/RealEstate_Organized/_Duplicates/Unknown/75' Wide 3 Plex - 1298 SF - Second Floor.jpg,627022,1767233906
/Users/sunniyaremchuk/B & H Partnership Agreement .pdf,unique,,Contracts,/Users/sunniyaremchuk/RealEstate_Organized/_Library/Contracts/B & H Partnership Agreement .pdf,125410,1770912617
/Users/sunniyaremchuk/5U1A9047.jpg,unique,,Photos,/Users/sunniyaremchuk/RealEstate_Organized/_Library/Photos/5U1A9047.jpg,5587093,1767830338
/Users/sunniyaremchuk/Property_Assessment_Data_(Current_Calendar_Year)_20260112.csv,unique,,,/Users/sunniyaremchuk/RealEstate_Organized/_NeedsReview/Property_Assessment_Data_(Current_Calendar_Year)_20260112.csv,68720,1768237873
/Users/sunniyaremchuk/10612 - 127 STREET NW- Landridge Homes-Sales Contract (3).pdf,primary,10612 127 Street,Contracts,/Users/sunniyaremchuk/RealEstate_Organized/10612 127 Street/Contracts/10612 - 127 STREET NW- Landridge Homes-Sales Contract (3).pdf,1022641,1769273016
/Users/sunniyaremchuk/106 Street Property - Peakhill & CMHC.pdf,unique,106 Street Property,Financials,/Users/sunniyaremchuk/RealEstate_Organized/106 Street Property/Financials/106 Street Property - Peakhill & CMHC.pdf,443432,1764812699
/Users/sunniyaremchuk/directory_harvester.zip,unique,,,/Users/sunniyaremchuk/RealEstate_Organized/_NeedsReview/directory_harvester.zip,5099,1766304781
/Users/sunniyaremchuk/SCHEDULE B – ACCREDITED INVESTOR CERTIFICATE (Individual – NI 45‑106).pdf,unique,,Contracts,/Users/sunniyaremchuk/RealEstate_Organized/_Library/Contracts/SCHEDULE B – ACCREDITED INVESTOR CERTIFICATE (Individual – NI 45‑106).pdf,143341,1764871013
/Users/sunniyaremchuk/10612 - 127 STREET NW- Schedule C.pdf,duplicate,10612 127 Street,(_Duplicates),/Users/sunniyaremchuk/RealEstate_Organized/_Duplicates/10612 127 Street/10612 - 127 STREET NW- Schedule C.pdf,785582,1767728727
/Users/sunniyaremchuk/Finders Fee Contract - Blk line.docx,unique,,Contracts,/Users/sunniyaremchuk/RealEstate_Organized/_Library/Contracts/Finders Fee Contract - Blk line.docx,19337,1768196366
/Users/sunniyaremchuk/10646 61 Ave Allendale - Front & Left (1).jpg,duplicate,Allendale,(_Duplicates),/Users/sunniyaremchuk/RealEstate_Organized/_Duplicates/Allendale/10646 61 Ave Allendale - Front & Left (1).jpg,184112,1773178584
/Users/sunniyaremchuk/10646 61 Ave Allendale - Front & Left.jpg,duplicate,Allendale,(_Duplicates),/Users/sunniyaremchuk/RealEstate_Organized/_Duplicates/Allendale/10646 61 Ave Allendale - Front & Left.jpg,184112,1772596054
/Users/sunniyaremchuk/edmonton_properties_enriched_batch2.xlsx,unique,,,/Users/sunniyaremchuk/RealEstate_Organized/_NeedsReview/edmonton_properties_enriched_batch2.xlsx,7710,1767829144
/Users/sunniyaremchuk/property_assessment_enriched_MASTER.csv,duplicate,,(_Duplicates),/Users/sunniyaremchuk/RealEstate_Organized/_Duplicates/Unknown/property_assessment_enriched_MASTER.csv,28061,1768241100
/Users/sunniyaremchuk/5U1A9191 - Copy.jpg,unique,,Photos,/Users/sunniyaremchuk/RealEstate_Organized/_Library/Photos/5U1A9191 - Copy.jpg,4219608,1767830184
/Users/sunniyaremchuk/ApplicationStatusReport (1).pdf,primary,,,/Users/sunniyaremchuk/RealEstate_Organized/_NeedsReview/ApplicationStatusReport (1).pdf,126968,1767818486
/Users/sunniyaremchuk/2025-01-09 ALLENDALE 6_PLEX - DESIGN PCKG (003).pdf,unique,Allendale,,/Users/sunniyaremchuk/RealEstate_Organized/Allendale/_NeedsReview/2025-01-09 ALLENDALE 6_PLEX - DESIGN PCKG (003).pdf,11736259,1767042475
/Users/sunniyaremchuk/Pro-forma Allendale 5 Unit  (1).xlsx,primary,Allendale,Financials,/Users/sunniyaremchuk/RealEstate_Organized/Allendale/Financials/Pro-forma Allendale 5 Unit  (1).xlsx,8888,1773944272
/Users/sunniyaremchuk/Property_Assessment_Data_(Current_Calendar_Year)_20260104 (1).csv,unique,,,/Users/sunniyaremchuk/RealEstate_Organized/_NeedsReview/Property_Assessment_Data_(Current_Calendar_Year)_20260104 (1).csv,50008,1767592755
/Users/sunniyaremchuk/HomeSchooled Deal Breakdown Calculator.xlsx,unique,,,/Users/sunniyaremchuk/RealEstate_Organized/_NeedsReview/HomeSchooled Deal Breakdown Calculator.xlsx,61360,1767813361
/Users/sunniyaremchuk/Operating online Statement 2025 03 31.pdf,unique,2025 03,,/Users/sunniyaremchuk/RealEstate_Organized/2025 03/_NeedsReview/Operating online Statement 2025 03 31.pdf,38128,1773162949
/Users/sunniyaremchuk/Sage Way Okotoks - Development Permit.pdf,duplicate,,(_Duplicates),/Users/sunniyaremchuk/RealEstate_Organized/_Duplicates/Unknown/Sage Way Okotoks - Development Permit.pdf,5560173,1768602378
/Users/sunniyaremchuk/Waterfall Family photo.jpg,unique,,Photos,/Users/sunniyaremchuk/RealEstate_Organized/_Library/Photos/Waterfall Family photo.jpg,2333918,1772569909
/Users/sunniyaremchuk/Allendale_Equity_SoftCosts_Styled (1).xlsx,unique,Allendale,,/Users/sunniyaremchuk/RealEstate_Organized/Allendale/_NeedsReview/Allendale_Equity_SoftCosts_Styled (1).xlsx,6108,1773071624
/Users/sunniyaremchuk/Landridge_8-Plex_Full_Brochure.pdf,unique,,,/Users/sunniyaremchuk/RealEstate_Organized/_NeedsReview/Landridge_8-Plex_Full_Brochure.pdf,4237695,1767831236
/Users/sunniyaremchuk/FLIP Deal Calculator .xlsx,unique,,,/Users/sunniyaremchuk/RealEstate_Organized/_NeedsReview/FLIP Deal Calculator .xlsx,61347,1767812972
/Users/sunniyaremchuk/10612 - 127 STREET NW - Schedule_B - Sepcifications (1).pdf,duplicate,10612 127 Street,(_Duplicates),/Users/sunniyaremchuk/RealEstate_Organized/_Duplicates/10612 127 Street/10612 - 127 STREET NW - Schedule_B - Sepcifications (1).pdf,545271,1768538308
/Users/sunniyaremchuk/10612 - 127 STREET NW - Schedule A - Plans (1).pdf,primary,10612 127 Street,Contracts,/Users/sunniyaremchuk/RealEstate_Organized/10612 127 Street/Contracts/10612 - 127 STREET NW - Schedule A - Plans (1).pdf,1376497,1768674341
/Users/sunniyaremchuk/10612 - 127 STREET NW- Schedule M - Project Utility Metering.pdf,duplicate,10612 127 Street,(_Duplicates),/Users/sunniyaremchuk/RealEstate_Organized/_Duplicates/10612 127 Street/10612 - 127 STREET NW- Schedule M - Project Utility Metering.pdf,214817,1767728733
/Users/sunniyaremchuk/September Retreat-Kia ora .docx,unique,,,/Users/sunniyaremchuk/RealEstate_Organized/_NeedsReview/September Retreat-Kia ora .docx,24492552,1771519384
/Users/sunniyaremchuk/Mail.pdf,unique,,,/Users/sunniyaremchuk/RealEstate_Organized/_NeedsReview/Mail.pdf,86911,1772653685
/Users/sunniyaremchuk/106 Street Property.pdf,unique,106 Street Property,,/Users/sunniyaremchuk/RealEstate_Organized/106 Street Property/_NeedsReview/106 Street Property.pdf,8033545,1766605787
/Users/sunniyaremchuk/0166867-00001_RS.PDF,unique,,,/Users/sunniyaremchuk/RealEstate_Organized/_NeedsReview/0166867-00001_RS.PDF,34871,1773623509
/Users/sunniyaremchuk/Purchase_Contract_(10315).pdf,duplicate,,(_Duplicates),/Users/sunniyaremchuk/RealEstate_Organized/_Duplicates/Unknown/Purchase_Contract_(10315).pdf,479928,1770235344
/Users/sunniyaremchuk/Schedule_G_Completion Addendum 9121 152St.pdf,unique,9121 152,Contracts,/Users/sunniyaremchuk/RealEstate_Organized/9121 152/Contracts/Schedule_G_Completion Addendum 9121 152St.pdf,5333,1768678952
/Users/sunniyaremchuk/6408_paid_to_date_costs.xlsx,unique,,,/Users/sunniyaremchuk/RealEstate_Organized/_NeedsReview/6408_paid_to_date_costs.xlsx,6646,1766519121
/Users/sunniyaremchuk/Allendale6408 106 Street NW Title (1).pdf,unique,Allendale,,/Users/sunniyaremchuk/RealEstate_Organized/Allendale/_NeedsReview/Allendale6408 106 Street NW Title (1).pdf,40975,1767818482
/Users/sunniyaremchuk/Allendale 1 Budget (1).xlsx,unique,Allendale,Financials,/Users/sunniyaremchuk/RealEstate_Organized/Allendale/Financials/Allendale 1 Budget (1).xlsx,30837,1773070695
/Users/sunniyaremchuk/Statement of Adjustments.pdf,unique,,,/Users/sunniyaremchuk/RealEstate_Organized/_NeedsReview/Statement of Adjustments.pdf,89152,1773413609
/Users/sunniyaremchuk/Building Permit 564496862-006 (1).pdf,duplicate,,(_Duplicates),/Users/sunniyaremchuk/RealEstate_Organized/_Duplicates/Unknown/Building Permit 564496862-006 (1).pdf,203442,1766771875
"/Users/sunniyaremchuk/LOI - 15981 110B Ave, Edmonton.pdf",unique,15981 110B Ave,,"/Users/sunniyaremchuk/RealEstate_Organized/15981 110B Ave/_NeedsReview/LOI - 15981 110B Ave, Edmonton.pdf",284066,1769123914
/Users/sunniyaremchuk/Allendale_QS.xlsx,unique,Allendale,,/Users/sunniyaremchuk/RealEstate_Organized/Allendale/_NeedsReview/Allendale_QS.xlsx,6675,1764826595
/Users/sunniyaremchuk/Grants (1).docx,primary,,,/Users/sunniyaremchuk/RealEstate_Organized/_NeedsReview/Grants (1).docx,296414,1771363264
/Users/sunniyaremchuk/Mayfield_110_Cost_Breakdown_updated_to_2_5M.xlsx,unique,Mayfield 110,,/Users/sunniyaremchuk/RealEstate_Organized/Mayfield 110/_NeedsReview/Mayfield_110_Cost_Breakdown_updated_to_2_5M.xlsx,4597693,1767913637
/Users/sunniyaremchuk/PNW Statement (1).xlsx,unique,,Investor Docs,/Users/sunniyaremchuk/RealEstate_Organized/_Library/Investor Docs/PNW Statement (1).xlsx,20354,1769528128
/Users/sunniyaremchuk/Purchase_Contract_(10315)_(1).pdf,unique,,,/Users/sunniyaremchuk/RealEstate_Organized/_NeedsReview/Purchase_Contract_(10315)_(1).pdf,494377,1770690225
/Users/sunniyaremchuk/10612 - 127 STREET NW- Landridge Homes-Sales Contract.pdf,duplicate,10612 127 Street,(_Duplicates),/Users/sunniyaremchuk/RealEstate_Organized/_Duplicates/10612 127 Street/10612 - 127 STREET NW- Landridge Homes-Sales Contract.pdf,1022641,1767728714
/Users/sunniyaremchuk/Property_Assessment_Data_(Current_Calendar_Year)_20260104.csv,unique,,,/Users/sunniyaremchuk/RealEstate_Organized/_NeedsReview/Property_Assessment_Data_(Current_Calendar_Year)_20260104.csv,90168249,1767592637
/Users/sunniyaremchuk/Homeowner Outreach.pdf,unique,,,/Users/sunniyaremchuk/RealEstate_Organized/_NeedsReview/Homeowner Outreach.pdf,92660,1768758190
/Users/sunniyaremchuk/Experience the thrill of surfing in Hawaii with….jpeg,unique,,Photos,/Users/sunniyaremchuk/RealEstate_Organized/_Library/Photos/Experience the thrill of surfing in Hawaii with….jpeg,117770,1766943798
/Users/sunniyaremchuk/10612 - 127 STREET NW- Addendum (2).pdf,primary,10612 127 Street,Contracts,/Users/sunniyaremchuk/RealEstate_Organized/10612 127 Street/Contracts/10612 - 127 STREET NW- Addendum (2).pdf,303223,1768674370
/Users/sunniyaremchuk/15313 6-Unit Complex 10646 61 Ave Allendale DRAFT.pdf,unique,Allendale,,/Users/sunniyaremchuk/RealEstate_Organized/Allendale/_NeedsReview/15313 6-Unit Complex 10646 61 Ave Allendale DRAFT.pdf,5839714,1773953294
/Users/sunniyaremchuk/cleaned_contacts.xlsx,unique,,,/Users/sunniyaremchuk/RealEstate_Organized/_NeedsReview/cleaned_contacts.xlsx,10768,1768587682
/Users/sunniyaremchuk/Subscription-For-Shares.pdf,unique,,,/Users/sunniyaremchuk/RealEstate_Organized/_NeedsReview/Subscription-For-Shares.pdf,29121,1767902304
/Users/sunniyaremchuk/Jasper Place 9121 152 St  LOI - Revised - February 4 2026 (2).pdf,duplicate,9121 152,(_Duplicates),/Users/sunniyaremchuk/RealEstate_Organized/_Duplicates/9121 152/Jasper Place 9121 152 St  LOI - Revised - February 4 2026 (2).pdf,289580,1772635598
/Users/sunniyaremchuk/edmonton_properties_enriched_sample.csv,unique,,,/Users/sunniyaremchuk/RealEstate_Organized/_NeedsReview/edmonton_properties_enriched_sample.csv,3123,1767828663
/Users/sunniyaremchuk/edmonton_properties_enriched_batch6.csv,unique,,,/Users/sunniyaremchuk/RealEstate_Organized/_NeedsReview/edmonton_properties_enriched_batch6.csv,3546,1767830968
/Users/sunniyaremchuk/vancouver_commercial_agents_rolling.csv,unique,,,/Users/sunniyaremchuk/RealEstate_Organized/_NeedsReview/vancouver_commercial_agents_rolling.csv,20518,1767827201
/Users/sunniyaremchuk/Labrie Transit Oriented Development Investment Brief.pdf,duplicate,,(_Duplicates),/Users/sunniyaremchuk/RealEstate_Organized/_Duplicates/Unknown/Labrie Transit Oriented Development Investment Brief.pdf,677541,1770651117
/Users/sunniyaremchuk/Allendale_Partner_Meeting_Pack_FINAL.docx,unique,Allendale,,/Users/sunniyaremchuk/RealEstate_Organized/Allendale/_NeedsReview/Allendale_Partner_Meeting_Pack_FINAL.docx,42303,1767765079
/Users/sunniyaremchuk/10612 - 127 STREET NW- Schedule C (2) (1).pdf,primary,10612 127 Street,Contracts,/Users/sunniyaremchuk/RealEstate_Organized/10612 127 Street/Contracts/10612 - 127 STREET NW- Schedule C (2) (1).pdf,785582,1768675425
/Users/sunniyaremchuk/Commercial Purchase Contract (1) (2) (2).pdf,primary,,Contracts,/Users/sunniyaremchuk/RealEstate_Organized/_Library/Contracts/Commercial Purchase Contract (1) (2) (2).pdf,161272,1768877181
/Users/sunniyaremchuk/enrichment_addon.zip,unique,,,/Users/sunniyaremchuk/RealEstate_Organized/_NeedsReview/enrichment_addon.zip,1347,1766279553
/Users/sunniyaremchuk/New Intake Life transforming Session 2026.pdf,unique,,,/Users/sunniyaremchuk/RealEstate_Organized/_NeedsReview/New Intake Life transforming Session 2026.pdf,1036883,1770847340
/Users/sunniyaremchuk/Appendale Letter of Reliance Appraisal.pdf,unique,,Reports,/Users/sunniyaremchuk/RealEstate_Organized/_Library/Reports/Appendale Letter of Reliance Appraisal.pdf,246116,1764812852
/Users/sunniyaremchuk/Lender Comparison (1).xlsx,unique,,,/Users/sunniyaremchuk/RealEstate_Organized/_NeedsReview/Lender Comparison (1).xlsx,36308,1770470512
/Users/sunniyaremchuk/9121 152 ST PV.1.pdf,unique,9121 152,,/Users/sunniyaremchuk/RealEstate_Organized/9121 152/_NeedsReview/9121 152 ST PV.1.pdf,684242,1769460253
/Users/sunniyaremchuk/Allendale_Equity_SoftCosts_Model.xlsx,unique,Allendale,,/Users/sunniyaremchuk/RealEstate_Organized/Allendale/_NeedsReview/Allendale_Equity_SoftCosts_Model.xlsx,7039,1773071215
/Users/sunniyaremchuk/Multifamily Development INquired Cleints .xlsx,unique,,,/Users/sunniyaremchuk/RealEstate_Organized/_NeedsReview/Multifamily Development INquired Cleints .xlsx,33612,1773426485
/Users/sunniyaremchuk/2024-12-11 CTC Final Report encl.pdf,unique,,,/Users/sunniyaremchuk/RealEstate_Organized/_NeedsReview/2024-12-11 CTC Final Report encl.pdf,3362791,1773080452
/Users/sunniyaremchuk/Schedule_F_GST_Rebate_Agreement_2289k.pdf,unique,,,/Users/sunniyaremchuk/RealEstate_Organized/_NeedsReview/Schedule_F_GST_Rebate_Agreement_2289k.pdf,4334,1768677288
/Users/sunniyaremchuk/Invoice (1).pdf,unique,,Financials,/Users/sunniyaremchuk/RealEstate_Organized/_Library/Financials/Invoice (1).pdf,208368,1773941165
/Users/sunniyaremchuk/Allendale_Summary 10646 61 Ave.docx,unique,Allendale,,/Users/sunniyaremchuk/RealEstate_Organized/Allendale/_NeedsReview/Allendale_Summary 10646 61 Ave.docx,31432,1767812036
/Users/sunniyaremchuk/75' Wide 3 Plex - 1298 SF - Front Elevation (1).jpg,primary,,Photos,/Users/sunniyaremchuk/RealEstate_Organized/_Library/Photos/75' Wide 3 Plex - 1298 SF - Front Elevation (1).jpg,847870,1767765029
/Users/sunniyaremchuk/Development Decision 564496862-002.pdf,duplicate,,(_Duplicates),/Users/sunniyaremchuk/RealEstate_Organized/_Duplicates/Unknown/Development Decision 564496862-002.pdf,317491,1766530217
/Users/sunniyaremchuk/5U1A9023.jpg,unique,,Photos,/Users/sunniyaremchuk/RealEstate_Organized/_Library/Photos/5U1A9023.jpg,4244238,1767830365
/Users/sunniyaremchuk/Information returns notice of (re)assessment.pdf,unique,,,/Users/sunniyaremchuk/RealEstate_Organized/_NeedsReview/Information returns notice of (re)assessment.pdf,73908,1772653724
/Users/sunniyaremchuk/Landridge_8-Plex_Premium_Brochure.pdf,unique,,,/Users/sunniyaremchuk/RealEstate_Organized/_NeedsReview/Landridge_8-Plex_Premium_Brochure.pdf,4238342,1767831346
/Users/sunniyaremchuk/Invoice Assignment Fee 10612 127 St  (1).pdf,duplicate,10612 127,(_Duplicates),/Users/sunniyaremchuk/RealEstate_Organized/_Duplicates/10612 127/Invoice Assignment Fee 10612 127 St  (1).pdf,27884,1770228367
/Users/sunniyaremchuk/edmonton_properties_enriched_batch7.csv,unique,,,/Users/sunniyaremchuk/RealEstate_Organized/_NeedsReview/edmonton_properties_enriched_batch7.csv,3006,1767831626
/Users/sunniyaremchuk/HS Engagement Letter - 6408 106 St. - Final -.pdf,unique,6408 106,,/Users/sunniyaremchuk/RealEstate_Organized/6408 106/_NeedsReview/HS Engagement Letter - 6408 106 St. - Final -.pdf,330724,1767890895
/Users/sunniyaremchuk/Waterfall Photo .jpg,unique,,Photos,/Users/sunniyaremchuk/RealEstate_Organized/_Library/Photos/Waterfall Photo .jpg,3615425,1772569874
/Users/sunniyaremchuk/tropical-paradise-miami-beach-florida-palm-22606996.webp,unique,,Photos,/Users/sunniyaremchuk/RealEstate_Organized/_Library/Photos/tropical-paradise-miami-beach-florida-palm-22606996.webp,28660,1764305363
