from,to,verdict
/Users/sunniyaremchuk/RealEstate_Organized/Allendale (generic)/_NeedsReview/Allendale_Project_Cost.xlsx,/Users/sunniyaremchuk/RealEstate_Organized/Allendale 6-Plex (10646 61 Ave)/_NeedsReview/Allendale_Project_Cost.xlsx,Allendale 6-Plex (10646 61 Ave)
/Users/sunniyaremchuk/RealEstate_Organized/Allendale (generic)/_NeedsReview/Complete_with_Docusign_Allendale_61_INC_GSA.pdf,/Users/sunniyaremchuk/RealEstate_Organized/Allendale 6-Plex (10646 61 Ave)/_NeedsReview/Complete_with_Docusign_Allendale_61_INC_GSA.pdf,Allendale 6-Plex (10646 61 Ave)
/Users/sunniyaremchuk/RealEstate_Organized/Allendale (generic)/_NeedsReview/Allendale_Partner_Steps.xlsx,/Users/sunniyaremchuk/RealEstate_Organized/Allendale 5-Plex (6408 106 St)/_NeedsReview/Allendale_Partner_Steps.xlsx,Allendale 5-Plex (6408 106 St)
/Users/sunniyaremchuk/RealEstate_Organized/Allendale (generic)/_NeedsReview/Allendale_6408_Cost_Overview_-_CLEAN.xlsx,/Users/sunniyaremchuk/RealEstate_Organized/Allendale 5-Plex (6408 106 St)/_NeedsReview/Allendale_6408_Cost_Overview_-_CLEAN.xlsx,Allendale 5-Plex (6408 106 St)
/Users/sunniyaremchuk/RealEstate_Organized/Allendale (generic)/_NeedsReview/2025-01-09 ALLENDALE 6_PLEX - DESIGN PCKG (003).pdf,/Users/sunniyaremchuk/RealEstate_Organized/Allendale 5-Plex (6408 106 St)/_NeedsReview/2025-01-09 ALLENDALE 6_PLEX - DESIGN PCKG (003).pdf,Allendale 5-Plex (6408 106 St)
/Users/sunniyaremchuk/RealEstate_Organized/Allendale (generic)/_NeedsReview/Allendale 6408 Cost Overview - FINAL.xlsx,/Users/sunniyaremchuk/RealEstate_Organized/Allendale 5-Plex (6408 106 St)/_NeedsReview/Allendale 6408 Cost Overview - FINAL.xlsx,Allendale 5-Plex (6408 106 St)
/Users/sunniyaremchuk/RealEstate_Organized/Allendale (generic)/_NeedsReview/Allendale_Investment_Summary.docx,/Users/sunniyaremchuk/RealEstate_Organized/Allendale 6-Plex (10646 61 Ave)/_NeedsReview/Allendale_Investment_Summary.docx,Allendale 6-Plex (10646 61 Ave)
"/Users/sunniyaremchuk/RealEstate_Organized/Allendale (generic)/_NeedsReview/24-48-Allendale Five-Plex- Progress April 14, 2025.pdf","/Users/sunniyaremchuk/RealEstate_Organized/Allendale 5-Plex (6408 106 St)/_NeedsReview/24-48-Allendale Five-Plex- Progress April 14, 2025.pdf",Allendale 5-Plex (6408 106 St)
/Users/sunniyaremchuk/RealEstate_Organized/Allendale (generic)/_NeedsReview/Allendale_Master_Cost_Summary_v2.xlsx,/Users/sunniyaremchuk/RealEstate_Organized/Allendale 5-Plex (6408 106 St)/_NeedsReview/Allendale_Master_Cost_Summary_v2.xlsx,Allendale 5-Plex (6408 106 St)
/Users/sunniyaremchuk/RealEstate_Organized/Allendale (generic)/_NeedsReview/Allendale_QS.xlsx,/Users/sunniyaremchuk/RealEstate_Organized/Allendale 5-Plex (6408 106 St)/_NeedsReview/Allendale_QS.xlsx,Allendale 5-Plex (6408 106 St)
/Users/sunniyaremchuk/RealEstate_Organized/Allendale (generic)/_NeedsReview/a7fcf722-3aba-4270-8642-ad13438bb1f9%2FAllendale_61__Credit_Facility_Note_GSA_Share_Pledge_(Dec_5_2025).pdf,/Users/sunniyaremchuk/RealEstate_Organized/Allendale 6-Plex (10646 61 Ave)/_NeedsReview/a7fcf722-3aba-4270-8642-ad13438bb1f9%2FAllendale_61__Credit_Facility_Note_GSA_Share_Pledge_(Dec_5_2025).pdf,Allendale 6-Plex (10646 61 Ave)
/Users/sunniyaremchuk/RealEstate_Organized/Allendale (generic)/_NeedsReview/15313 6-Unit Complex 10646 61 Ave Allendale DRAFT.pdf,/Users/sunniyaremchuk/RealEstate_Organized/Allendale 6-Plex (10646 61 Ave)/_NeedsReview/15313 6-Unit Complex 10646 61 Ave Allendale DRAFT.pdf,Allendale 6-Plex (10646 61 Ave)
/Users/sunniyaremchuk/RealEstate_Organized/Allendale (generic)/_NeedsReview/Allendale_Lender_Final.xlsx,/Users/sunniyaremchuk/RealEstate_Organized/Allendale 5-Plex (6408 106 St)/_NeedsReview/Allendale_Lender_Final.xlsx,Allendale 5-Plex (6408 106 St)
/Users/sunniyaremchuk/RealEstate_Organized/Allendale (generic)/_NeedsReview/Allendale_Partner_Meeting_Pack_FINAL.docx,/Users/sunniyaremchuk/RealEstate_Organized/Allendale 6-Plex (10646 61 Ave)/_NeedsReview/Allendale_Partner_Meeting_Pack_FINAL.docx,Allendale 6-Plex (10646 61 Ave)
/Users/sunniyaremchuk/RealEstate_Organized/Allendale (generic)/_NeedsReview/Allendale_Deal_Summary.xlsx,/Users/sunniyaremchuk/RealEstate_Organized/Allendale 6-Plex (10646 61 Ave)/_NeedsReview/Allendale_Deal_Summary.xlsx,Allendale 6-Plex (10646 61 Ave)
/Users/sunniyaremchuk/RealEstate_Organized/Allendale (generic)/_NeedsReview/Allendale_Summary 10646 61 Ave.docx,/Users/sunniyaremchuk/RealEstate_Organized/Allendale 6-Plex (10646 61 Ave)/_NeedsReview/Allendale_Summary 10646 61 Ave.docx,Allendale 6-Plex (10646 61 Ave)
/Users/sunniyaremchuk/RealEstate_Organized/Allendale (generic)/_NeedsReview/Allendale_CMHC_Refi_Scenarios.pdf,/Users/sunniyaremchuk/RealEstate_Organized/Allendale 6-Plex (10646 61 Ave)/_NeedsReview/Allendale_CMHC_Refi_Scenarios.pdf,Allendale 6-Plex (10646 61 Ave)
/Users/sunniyaremchuk/RealEstate_Organized/Allendale (generic)/_NeedsReview/Allendale_Equity_Model_soft149166.xlsx,/Users/sunniyaremchuk/RealEstate_Organized/Allendale 6-Plex (10646 61 Ave)/_NeedsReview/Allendale_Equity_Model_soft149166.xlsx,Allendale 6-Plex (10646 61 Ave)
/Users/sunniyaremchuk/RealEstate_Organized/Allendale (generic)/_NeedsReview/Allendale_Deal_Summary_2.xlsx,/Users/sunniyaremchuk/RealEstate_Organized/Allendale 6-Plex (10646 61 Ave)/_NeedsReview/Allendale_Deal_Summary_2.xlsx,Allendale 6-Plex (10646 61 Ave)
/Users/sunniyaremchuk/RealEstate_Organized/Allendale (generic)/_NeedsReview/Allendale_Investor_Report_1.xlsx,/Users/sunniyaremchuk/RealEstate_Organized/Allendale 6-Plex (10646 61 Ave)/_NeedsReview/Allendale_Investor_Report_1.xlsx,Allendale 6-Plex (10646 61 Ave)
/Users/sunniyaremchuk/RealEstate_Organized/Allendale (generic)/_NeedsReview/Allendale_Build_Cost_Summary.xlsx,/Users/sunniyaremchuk/RealEstate_Organized/Allendale 6-Plex (10646 61 Ave)/_NeedsReview/Allendale_Build_Cost_Summary.xlsx,Allendale 6-Plex (10646 61 Ave)
/Users/sunniyaremchuk/RealEstate_Organized/Allendale (generic)/_NeedsReview/Allendale Atco.pdf,/Users/sunniyaremchuk/RealEstate_Organized/Allendale 5-Plex (6408 106 St)/_NeedsReview/Allendale Atco.pdf,Allendale 5-Plex (6408 106 St)
/Users/sunniyaremchuk/RealEstate_Organized/Allendale (generic)/_NeedsReview/Allendale_Cost_Summary_Simple.xlsx,/Users/sunniyaremchuk/RealEstate_Organized/Allendale 6-Plex (10646 61 Ave)/_NeedsReview/Allendale_Cost_Summary_Simple.xlsx,Allendale 6-Plex (10646 61 Ave)
/Users/sunniyaremchuk/RealEstate_Organized/Allendale (generic)/_NeedsReview/Allendale_6408_Cost-to-Date.xlsx,/Users/sunniyaremchuk/RealEstate_Organized/Allendale 5-Plex (6408 106 St)/_NeedsReview/Allendale_6408_Cost-to-Date.xlsx,Allendale 5-Plex (6408 106 St)
/Users/sunniyaremchuk/RealEstate_Organized/Allendale (generic)/_NeedsReview/Allendale_UPDATED_Model_Conservative.xlsx,/Users/sunniyaremchuk/RealEstate_Organized/Allendale 6-Plex (10646 61 Ave)/_NeedsReview/Allendale_UPDATED_Model_Conservative.xlsx,Allendale 6-Plex (10646 61 Ave)
/Users/sunniyaremchuk/RealEstate_Organized/Allendale (generic)/_NeedsReview/Allendale_6408_5-Plex_BTY_Draft.xlsx,/Users/sunniyaremchuk/RealEstate_Organized/Allendale 5-Plex (6408 106 St)/_NeedsReview/Allendale_6408_5-Plex_BTY_Draft.xlsx,Allendale 5-Plex (6408 106 St)
/Users/sunniyaremchuk/RealEstate_Organized/Allendale (generic)/_NeedsReview/E2025-07-CI-001 Allendale Billing #1 - 26_08_2025.pdf,/Users/sunniyaremchuk/RealEstate_Organized/Allendale 5-Plex (6408 106 St)/_NeedsReview/E2025-07-CI-001 Allendale Billing #1 - 26_08_2025.pdf,Allendale 5-Plex (6408 106 St)
/Users/sunniyaremchuk/RealEstate_Organized/Allendale (generic)/_NeedsReview/Allendale_Soft_Cost 6408 106 St (1).xlsx,/Users/sunniyaremchuk/RealEstate_Organized/Allendale 5-Plex (6408 106 St)/_NeedsReview/Allendale_Soft_Cost 6408 106 St (1).xlsx,Allendale 5-Plex (6408 106 St)
/Users/sunniyaremchuk/RealEstate_Organized/Allendale (generic)/_NeedsReview/Allendale_6408_CMHC_Budget_$1.7M.xlsx,/Users/sunniyaremchuk/RealEstate_Organized/Allendale 5-Plex (6408 106 St)/_NeedsReview/Allendale_6408_CMHC_Budget_$1.7M.xlsx,Allendale 5-Plex (6408 106 St)
"/Users/sunniyaremchuk/RealEstate_Organized/Allendale (generic)/_NeedsReview/BTY Group Proposal - Sunrize Investments, Allendale Apartments, Edmonton, AB (1).pdf","/Users/sunniyaremchuk/RealEstate_Organized/Allendale 6-Plex (10646 61 Ave)/_NeedsReview/BTY Group Proposal - Sunrize Investments, Allendale Apartments, Edmonton, AB (1).pdf",Allendale 6-Plex (10646 61 Ave)
/Users/sunniyaremchuk/RealEstate_Organized/Allendale (generic)/_NeedsReview/6408 106 St Allendale - 003.pdf,/Users/sunniyaremchuk/RealEstate_Organized/Allendale 5-Plex (6408 106 St)/_NeedsReview/6408 106 St Allendale - 003.pdf,Allendale 5-Plex (6408 106 St)
/Users/sunniyaremchuk/RealEstate_Organized/Allendale (generic)/_NeedsReview/15014 5-Unit Complex 6408 106 St Allendale DRAFT.pdf,/Users/sunniyaremchuk/RealEstate_Organized/Allendale 5-Plex (6408 106 St)/_NeedsReview/15014 5-Unit Complex 6408 106 St Allendale DRAFT.pdf,Allendale 5-Plex (6408 106 St)
/Users/sunniyaremchuk/RealEstate_Organized/Allendale (generic)/_NeedsReview/Allendale_Deal_Summary_1.xlsx,/Users/sunniyaremchuk/RealEstate_Organized/Allendale 6-Plex (10646 61 Ave)/_NeedsReview/Allendale_Deal_Summary_1.xlsx,Allendale 6-Plex (10646 61 Ave)
/Users/sunniyaremchuk/RealEstate_Organized/Allendale (generic)/_NeedsReview/Emanation Investments Inc. (2024-10-10 - Quote) Allendale 6408 Insurance.pdf,/Users/sunniyaremchuk/RealEstate_Organized/Allendale 5-Plex (6408 106 St)/_NeedsReview/Emanation Investments Inc. (2024-10-10 - Quote) Allendale 6408 Insurance.pdf,Allendale 5-Plex (6408 106 St)
/Users/sunniyaremchuk/RealEstate_Organized/Allendale (generic)/_NeedsReview/Allendale_Investor_Report_2.xlsx,/Users/sunniyaremchuk/RealEstate_Organized/Allendale 6-Plex (10646 61 Ave)/_NeedsReview/Allendale_Investor_Report_2.xlsx,Allendale 6-Plex (10646 61 Ave)
/Users/sunniyaremchuk/RealEstate_Organized/Allendale (generic)/_NeedsReview/E2025-07-CI-003 Allendale Claim 2 24_11_2025 (4).pdf,/Users/sunniyaremchuk/RealEstate_Organized/Allendale 5-Plex (6408 106 St)/_NeedsReview/E2025-07-CI-003 Allendale Claim 2 24_11_2025 (4).pdf,Allendale 5-Plex (6408 106 St)
/Users/sunniyaremchuk/RealEstate_Organized/Allendale (generic)/_NeedsReview/Allendale_QS_cost_log_FINAL_for_QS.xlsx,/Users/sunniyaremchuk/RealEstate_Organized/Allendale 5-Plex (6408 106 St)/_NeedsReview/Allendale_QS_cost_log_FINAL_for_QS.xlsx,Allendale 5-Plex (6408 106 St)
/Users/sunniyaremchuk/RealEstate_Organized/Allendale (generic)/_NeedsReview/Allendale_Investor_Report_3.xlsx,/Users/sunniyaremchuk/RealEstate_Organized/Allendale 6-Plex (10646 61 Ave)/_NeedsReview/Allendale_Investor_Report_3.xlsx,Allendale 6-Plex (10646 61 Ave)
/Users/sunniyaremchuk/RealEstate_Organized/Allendale (generic)/_NeedsReview/Allendale Invoice_13935_from_ProtechGeo__Material_Testing_Ltd FINAL.pdf,/Users/sunniyaremchuk/RealEstate_Organized/Allendale 5-Plex (6408 106 St)/_NeedsReview/Allendale Invoice_13935_from_ProtechGeo__Material_Testing_Ltd FINAL.pdf,Allendale 5-Plex (6408 106 St)
/Users/sunniyaremchuk/RealEstate_Organized/Allendale (generic)/_NeedsReview/Allendale_Partner_Meeting_Pack.docx,/Users/sunniyaremchuk/RealEstate_Organized/Allendale 6-Plex (10646 61 Ave)/_NeedsReview/Allendale_Partner_Meeting_Pack.docx,Allendale 6-Plex (10646 61 Ave)
/Users/sunniyaremchuk/RealEstate_Organized/Allendale (generic)/_NeedsReview/Allendale_QS_cost_log_v4.xlsx,/Users/sunniyaremchuk/RealEstate_Organized/Allendale 5-Plex (6408 106 St)/_NeedsReview/Allendale_QS_cost_log_v4.xlsx,Allendale 5-Plex (6408 106 St)
/Users/sunniyaremchuk/RealEstate_Organized/Allendale (generic)/_NeedsReview/Allendale_6Unit_ProForma.xlsx,/Users/sunniyaremchuk/RealEstate_Organized/Allendale 6-Plex (10646 61 Ave)/_NeedsReview/Allendale_6Unit_ProForma.xlsx,Allendale 6-Plex (10646 61 Ave)
/Users/sunniyaremchuk/RealEstate_Organized/Allendale (generic)/_NeedsReview/Allendale_6408_CMHC_Cover_Memo.docx,/Users/sunniyaremchuk/RealEstate_Organized/Allendale 5-Plex (6408 106 St)/_NeedsReview/Allendale_6408_CMHC_Cover_Memo.docx,Allendale 5-Plex (6408 106 St)
/Users/sunniyaremchuk/RealEstate_Organized/Allendale (generic)/_NeedsReview/E2025-07-CI-001 Allendale Billing #1 26_08_2025.pdf,/Users/sunniyaremchuk/RealEstate_Organized/Allendale 5-Plex (6408 106 St)/_NeedsReview/E2025-07-CI-001 Allendale Billing #1 26_08_2025.pdf,Allendale 5-Plex (6408 106 St)
/Users/sunniyaremchuk/RealEstate_Organized/Allendale (generic)/_NeedsReview/E2025-07-CI-003 Allendale Claim 2 24_11_2025.pdf,/Users/sunniyaremchuk/RealEstate_Organized/Allendale 5-Plex (6408 106 St)/_NeedsReview/E2025-07-CI-003 Allendale Claim 2 24_11_2025.pdf,Allendale 5-Plex (6408 106 St)
/Users/sunniyaremchuk/RealEstate_Organized/Allendale (generic)/_NeedsReview/CCDC Allendale Evara Project 6408 106 St.pdf,/Users/sunniyaremchuk/RealEstate_Organized/Allendale 5-Plex (6408 106 St)/_NeedsReview/CCDC Allendale Evara Project 6408 106 St.pdf,Allendale 5-Plex (6408 106 St)
/Users/sunniyaremchuk/RealEstate_Organized/Allendale (generic)/_NeedsReview/10646 61 Ave Allendale 6 Plex - 002.pdf,/Users/sunniyaremchuk/RealEstate_Organized/Allendale 6-Plex (10646 61 Ave)/_NeedsReview/10646 61 Ave Allendale 6 Plex - 002.pdf,Allendale 6-Plex (10646 61 Ave)
/Users/sunniyaremchuk/RealEstate_Organized/Allendale (generic)/_NeedsReview/Allendale_Equity_Summary_May2026.pdf,/Users/sunniyaremchuk/RealEstate_Organized/Allendale 6-Plex (10646 61 Ave)/_NeedsReview/Allendale_Equity_Summary_May2026.pdf,Allendale 6-Plex (10646 61 Ave)
/Users/sunniyaremchuk/RealEstate_Organized/Allendale (generic)/_NeedsReview/Allendale_Master_Cost_Summary.xlsx,/Users/sunniyaremchuk/RealEstate_Organized/Allendale 5-Plex (6408 106 St)/_NeedsReview/Allendale_Master_Cost_Summary.xlsx,Allendale 5-Plex (6408 106 St)
/Users/sunniyaremchuk/RealEstate_Organized/Allendale (generic)/_NeedsReview/Allendale_Sources_Uses.xlsx,/Users/sunniyaremchuk/RealEstate_Organized/Allendale 6-Plex (10646 61 Ave)/_NeedsReview/Allendale_Sources_Uses.xlsx,Allendale 6-Plex (10646 61 Ave)
/Users/sunniyaremchuk/RealEstate_Organized/Allendale (generic)/_NeedsReview/Allendale_Investor_Report.xlsx,/Users/sunniyaremchuk/RealEstate_Organized/Allendale 6-Plex (10646 61 Ave)/_NeedsReview/Allendale_Investor_Report.xlsx,Allendale 6-Plex (10646 61 Ave)
/Users/sunniyaremchuk/RealEstate_Organized/Allendale (generic)/_NeedsReview/Allendale 10646 61 Ave.pdf,/Users/sunniyaremchuk/RealEstate_Organized/Allendale 6-Plex (10646 61 Ave)/_NeedsReview/Allendale 10646 61 Ave.pdf,Allendale 6-Plex (10646 61 Ave)
/Users/sunniyaremchuk/RealEstate_Organized/Allendale (generic)/_NeedsReview/10646 61 Ave Allendale 6 Plex - 003 (1).pdf,/Users/sunniyaremchuk/RealEstate_Organized/Allendale 6-Plex (10646 61 Ave)/_NeedsReview/10646 61 Ave Allendale 6 Plex - 003 (1).pdf,Allendale 6-Plex (10646 61 Ave)
/Users/sunniyaremchuk/RealEstate_Organized/Allendale (generic)/_NeedsReview/Allendale_5Plex_Updated_Hard_Costs.xlsx,/Users/sunniyaremchuk/RealEstate_Organized/Allendale 5-Plex (6408 106 St)/_NeedsReview/Allendale_5Plex_Updated_Hard_Costs.xlsx,Allendale 5-Plex (6408 106 St)
/Users/sunniyaremchuk/RealEstate_Organized/Allendale (generic)/_NeedsReview/Allendale_Investment_Proposal_.docx,/Users/sunniyaremchuk/RealEstate_Organized/Allendale 6-Plex (10646 61 Ave)/_NeedsReview/Allendale_Investment_Proposal_.docx,Allendale 6-Plex (10646 61 Ave)
/Users/sunniyaremchuk/RealEstate_Organized/Allendale (generic)/_NeedsReview/CCDC Allendale Evara Project 6408 106 St (1).pdf,/Users/sunniyaremchuk/RealEstate_Organized/Allendale 5-Plex (6408 106 St)/_NeedsReview/CCDC Allendale Evara Project 6408 106 St (1).pdf,Allendale 5-Plex (6408 106 St)
/Users/sunniyaremchuk/RealEstate_Organized/Allendale (generic)/_NeedsReview/Allendale_10646_61Ave_Financials.xlsx,/Users/sunniyaremchuk/RealEstate_Organized/Allendale 6-Plex (10646 61 Ave)/_NeedsReview/Allendale_10646_61Ave_Financials.xlsx,Allendale 6-Plex (10646 61 Ave)
/Users/sunniyaremchuk/RealEstate_Organized/Allendale (generic)/_NeedsReview/Allendale_Equity_Model_UPDATED_348k.xlsx,/Users/sunniyaremchuk/RealEstate_Organized/Allendale 6-Plex (10646 61 Ave)/_NeedsReview/Allendale_Equity_Model_UPDATED_348k.xlsx,Allendale 6-Plex (10646 61 Ave)
/Users/sunniyaremchuk/RealEstate_Organized/Allendale (generic)/_NeedsReview/Allendale_CMHC_Budget.xlsx,/Users/sunniyaremchuk/RealEstate_Organized/Allendale 5-Plex (6408 106 St)/_NeedsReview/Allendale_CMHC_Budget.xlsx,Allendale 5-Plex (6408 106 St)
/Users/sunniyaremchuk/RealEstate_Organized/Allendale (generic)/_NeedsReview/Allendale Investment_Summary (1).docx,/Users/sunniyaremchuk/RealEstate_Organized/Allendale 6-Plex (10646 61 Ave)/_NeedsReview/Allendale Investment_Summary (1).docx,Allendale 6-Plex (10646 61 Ave)
/Users/sunniyaremchuk/RealEstate_Organized/Allendale (generic)/_NeedsReview/Allendale_6408_CMHC_Document_Index.docx,/Users/sunniyaremchuk/RealEstate_Organized/Allendale 5-Plex (6408 106 St)/_NeedsReview/Allendale_6408_CMHC_Document_Index.docx,Allendale 5-Plex (6408 106 St)
/Users/sunniyaremchuk/RealEstate_Organized/Allendale (generic)/_NeedsReview/Allendale 6 Unit .xlsx,/Users/sunniyaremchuk/RealEstate_Organized/Allendale 6-Plex (10646 61 Ave)/_NeedsReview/Allendale 6 Unit .xlsx,Allendale 6-Plex (10646 61 Ave)
/Users/sunniyaremchuk/RealEstate_Organized/Allendale (generic)/Photos/New 5-unit infill in Allendale.png,/Users/sunniyaremchuk/RealEstate_Organized/Allendale 5-Plex (6408 106 St)/Photos/New 5-unit infill in Allendale.png,Allendale 5-Plex (6408 106 St)
/Users/sunniyaremchuk/RealEstate_Organized/Allendale (generic)/Photos/10646 61 Ave Allendale - Front & Left (4).jpg,/Users/sunniyaremchuk/RealEstate_Organized/Allendale 6-Plex (10646 61 Ave)/Photos/10646 61 Ave Allendale - Front & Left (4).jpg,Allendale 6-Plex (10646 61 Ave)
/Users/sunniyaremchuk/RealEstate_Organized/Allendale (generic)/Photos/10646 61 Ave Allendale - Front & Right.jpg,/Users/sunniyaremchuk/RealEstate_Organized/Allendale 6-Plex (10646 61 Ave)/Photos/10646 61 Ave Allendale - Front & Right.jpg,Allendale 6-Plex (10646 61 Ave)
/Users/sunniyaremchuk/RealEstate_Organized/Allendale (generic)/Photos/Allendale 10646 61 St .png,/Users/sunniyaremchuk/RealEstate_Organized/Allendale 6-Plex (10646 61 Ave)/Photos/Allendale 10646 61 St .png,Allendale 6-Plex (10646 61 Ave)
/Users/sunniyaremchuk/RealEstate_Organized/Allendale (generic)/Reports/Allendale Appraisal invoice_93826.pdf,/Users/sunniyaremchuk/RealEstate_Organized/Allendale 5-Plex (6408 106 St)/Reports/Allendale Appraisal invoice_93826.pdf,Allendale 5-Plex (6408 106 St)
