record_type,name,email,phones,company,roles,asset_classes,strategies,markets,notes,sources
email_contact,Calista Homes,info@calistahomes.com,(403) 279-9190; (403) 292-0610; (403) 681-2365; (403) 880-0604,calistahomes,Builder,Infill,,Calgary,",,""+14036812365"",""info@primedesignsyyc.com"",""2025-12-16T20:49:59-07:00"",""Dec 25 2025 09:09 AM"",""yyc_infill, yyc_data1"" ""y94ArFwB2ihHHPmkOGsw"",,,""+14038800604"",""info@calistahomes.com"",""2025-12-16T20:49",Calgary_Builders_List.csv | Calgary_Builders_List.xlsx | Calgary_City_Derived_Builders_Developers_Contacts.csv | Calgary_Leads_Combined.csv | Calgary_Leads_For_GoHighLevel.csv | Calgary_Leads_For_GoHighLevel_PLUS247.csv | Calgary_Leads_For_GoHighLevel_PLUS247.xlsx | Export_Contacts_undefined_May_2026_10_54_PM.csv | Go High Level All Contacts.csv | library_contacts_Upload YYYC Infill .csv | library
email_contact,Cameron Development,info@camdevcorp.com,(587) 488-5330; (780) 483-7452,camdevcorp,Builder; Developer,Infill,,Calgary; Edmonton,"t company"",,""info@genstar.com"",""2025-09-24T10:40:51-06:00"",,""infill_developer, developer_builders"" ""lUWoUbz4e6ayia3PbqjC"",""Cameron"",""Development corporation"",,""info@camdevcorp.com"",""2025-09-24T10:40:4",Builders_Developers INFO (email_numbers) .xlsx - Sheet1.csv | Export_Contacts_undefined_May_2026_10_54_PM.csv | Go High Level All Contacts.csv | [Drive] Buyers_Developer_Builders_xlsx_1757717916.xlsx
email_contact,Castellano Custom,info@castellanohomes.com,(403) 813-2769; (403) 975-6275; (587) 224-5866,castellanohomes,Builder,Infill,,Calgary; Edmonton,"conroycustomhomes.com"",""2025-12-16T14:48:46-07:00"",""Jan 05 2026 09:49 AM"",""yyc_infill, calgary_multifamily, yyc_data1"" ""jqTsXu4PY5WJClnfK2RV"",,,""+14038132769"",""info@castellanohomes.com"",""2025-12-16T14",Calgary_Builders_and_Developers.csv | Calgary_Leads_Combined.csv | Calgary_Leads_For_GoHighLevel.csv | Calgary_Leads_For_GoHighLevel_PLUS247.csv | Calgary_Leads_For_GoHighLevel_PLUS247.xlsx | Export_Contacts_undefined_May_2026_10_54_PM.csv | Go High Level All Contacts.csv | library_contacts_Upload YYYC Infill .csv | library_contacts_YYYC_Infill_cleaned_E164.csv
email_contact,Cira Communities,sales@ciracommunities.com,(825) 402-7979; (825) 402-7979,ciracommunities,Builder; Developer,Infill; Land,,Calgary; Edmonton,ments) | GST payable at land transfer | Property taxes: Cira's responsibility until handover | Your builder. Your design. CONTACT: Cira Communities | sales@ciracommunities.com | +1 (825) 402-7979 | ww,Lake_Ridge_Builder_Emails.xlsx | Lake_Ridge_Builder_Outreach_List.xlsx | Lake_Ridge_Builder_Outreach_v2.xlsx | Lake_Ridge_Estates_Price_List.xlsx
email_contact,Conroy Custom,trevor@conroycustomhomes.com,(403) 239-0602; (403) 813-2769; (587) 224-5866,conroycustomhomes,Builder,Infill,,Calgary; Edmonton,"s@mckinleymasters.com"",""2025-12-16T14:48:46-07:00"",""Dec 16 2025 02:55 PM"",""yyc_infill, calgary_multifamily, yyc_data1"" ""5KZUJKnCZJNU5dlHV8O4"",,,""+15872245866"",""trevor@conroycustomhomes.com"",""2025-12-1",Calgary_Builders_and_Developers.csv | Calgary_Leads_Combined.csv | Calgary_Leads_For_GoHighLevel.csv | Calgary_Leads_For_GoHighLevel_PLUS247.csv | Calgary_Leads_For_GoHighLevel_PLUS247.xlsx | Export_Contacts_undefined_May_2026_10_54_PM.csv | Go High Level All Contacts.csv | library_contacts_Upload YYYC Infill .csv | library_contacts_YYYC_Infill_cleaned_E164.csv
email_contact,Construction Inc,contact@bristleconehomes.com,(587) 674-1000; (780) 244-1144; (780) 265-6888; (780) 395-3300,bristleconehomes,Builder; Developer,,,Calgary; Edmonton,"634565"",,""2025-09-24T10:27:56-06:00"",""Oct 08 2025 09:31 AM"",""infill_developer, developer_builders"" ""ozitw7Z0DGU5Sq3pQliv"",""Bristlecone"",""Homes"",""+15876741000"",""contact@bristleconehomes.com"",""2025-09-2",Export_Contacts_undefined_May_2026_10_54_PM.csv | Go High Level All Contacts.csv | [Drive] Buyers_Developer_Builders_xlsx_1757717916.xlsx
email_contact,Contracting Corporation,contact@ndura.ca,(780) 695-0245; (780) 700-4921; (780) 700-8600; (780) 707-8701; (780) 884-5564; (780) 887-1308; (780) 940-6303,ndura,Builder; Developer; Investor,Infill; Multifamily,,Calgary; Edmonton,"es.com"",""2025-09-24T10:17:47-06:00"",""Jan 06 2026 08:42 AM"",""infill_developer, developer_builders"" ""DjxBWgUcLIVzmpETOgA7"",""Ndura"",""Developments"",""+17809406303"",""contact@ndura.ca"",""2025-09-24T10:17:46-0",4 plex s - Uploaded  - Sheet1.csv | Export_Contacts_undefined_May_2026_10_54_PM.csv | Go High Level All Contacts.csv | [Drive] Admin_ Investors.xlsx | [Drive] Buyers_1742680165---uploaded .xlsx | [Drive] Buyers_Developer_Builders_xlsx_1757717916.xlsx | [Drive] hubspot-crm-exports-all-contacts-2024-06-10.csv | [Drive] hubspot-crm-exports-all-contacts-2024-08-16.csv
email_contact,Contracting Ltd,info@paramountcg.ca,(587) 415-9390; (780) 264-9802; (780) 436-5959; (780) 454-2700,paramountcg,Builder,,,Calgary; Edmonton,"025-09-24T10:17:45-06:00"",""Oct 08 2025 11:30 AM"",""infill_developer, developer_builders"" ""XKPz2jaElrod8rj2OXpS"",""Paramount"",""Construction group"",""+17804542700"",""info@paramountcg.ca"",""2025-09-24T10:17:4",Export_Contacts_undefined_May_2026_10_54_PM.csv | Go High Level All Contacts.csv | [Drive] Buyers_Developer_Builders_xlsx_1757717916.xlsx
email_contact,Contractors Inc,info@rmrf.com,(587) 596-4210; (780) 705-7108,rmrf,Builder,,,Calgary; Edmonton,"08684588"",""sales@mycranston.ca"",""2025-09-24T10:42:36-06:00"",""Jan 05 2026 05:42 PM"",""infill_developer, developer_builders"" ""edHrQi5l1vWY27SsUHNd"",""Rmrf"",""Llp"",,""info@rmrf.com"",""2025-09-24T10:42:36-06:0",Builders_Developers INFO (email_numbers) .xlsx - Sheet1.csv | Export_Contacts_undefined_May_2026_10_54_PM.csv | Go High Level All Contacts.csv | [Drive] Buyers_Developer_Builders_xlsx_1757717916.xlsx
email_contact,Contractors Inc,info@yegcontractors.ca,(587) 596-4210; (780) 486-4941; (780) 540-4041; (780) 695-2556; (780) 707-8785; (780) 885-5858,yegcontractors,Builder; Contractor,,Redevelopment,Calgary; Edmonton,"24T10:38:27-06:00"",""Jan 05 2026 02:42 PM"",""infill_developer, developer_builders, infill_vip_yeg"" ""QQn10LXNF6wx6LJRuDGb"",""Yeg"",""Contractors inc"",""+15875964210"",""info@yegcontractors.ca"",""2025-09-24T10:3",Builders_Developers INFO (email_numbers) .xlsx - Sheet1.csv | Export_Contacts_undefined_May_2026_10_54_PM.csv | Go High Level All Contacts.csv | [Drive] Buyers_Developer_Builders_xlsx_1757717916.xlsx | [Drive] Contacts_Builders_1724863459.xlsx
email_contact,Cornerstone Homes,riley@cornerstonehomes.ca,(403) 212-6383; (403) 279-9190; (403) 764-0222; (403) 880-0604,cornerstonehomes,Builder,,,Calgary,""",,""2025-10-10T20:18:30-06:00"",""Nov 16 2025 01:00 PM"",""land_seller_alberta, yyc_infill, yyc_data1"" ""m2kj4DTDkpZNMFBDsyzH"",""Cornerstone"",""Homes"",""+14032799190"",""riley@cornerstonehomes.ca"",""2025-10-10T2",Calgary_Builders_List.csv | Calgary_Builders_List.xlsx | Export_Contacts_undefined_May_2026_10_54_PM.csv | Go High Level All Contacts.csv
email_contact,Country Homes,info@jaywest.ca,(866) 848-4004; (403) 291-3995; (403) 966-7183; (825) 256-5344,jaywest,Builder,,,Calgary; Edmonton; USA,",""yyc_infill"" ""fYqvVun6LTrIvTVOAt03"",,,""+14032913995"",,""2025-12-18T15:43:01-07:00"",""Dec 25 2025 10:06 AM"",""yyc_infill"" ""Pz4o4l3Zc41vWVkJwvoh"",,,""+18668484004"",""info@jaywest.ca"",""2025-12-18T15:43:00-07",Calgary_Builders_List.csv | Calgary_Builders_List.xlsx | Export_Contacts_undefined_May_2026_10_54_PM.csv | Go High Level All Contacts.csv
email_contact,,info@cozyhomeconstruction.ca,(587) 523-5765; (780) 239-4212; (780) 244-0222,cozyhomeconstruction,Builder,Infill,,Calgary; Edmonton,"eveloper_builders, multifamily_precon_buyer, multifamily_buyer, ryan_fbleads_multifamily"" ""3LZPoDshDEZ29SBgtKwJ"",""Cozy"",""Home construction inc"",""+17802394212"",""info@cozyhomeconstruction.ca"",""2025-09-2",Export_Contacts_undefined_May_2026_10_54_PM.csv | Go High Level All Contacts.csv | [Drive] Buyers_Developer_Builders_xlsx_1757717916.xlsx
email_contact,Crystal Creek,info@landridgehomes.ca,(403) 254-6499; (780) 300-2222; (780) 909-8055,landridgehomes,Builder,,,Calgary; Edmonton,"ill_developer, builder_buyer, developer_builders, land_developers, infill_vip_yeg, yeg_infill_10-40"" ""rfQrtA8LvfRbL6rs0hyU"",""Landridge"",""Homes"",""+17803002222"",""info@landridgehomes.ca"",""2025-09-24T10:3",Export_Contacts_undefined_May_2026_10_54_PM.csv | Go High Level All Contacts.csv | [Drive] Buyers_Developer_Builders_xlsx_1757717916.xlsx
email_contact,Custom Builders,info@channelcustombuilders.com,(403) 243-8507; (403) 607-6166; (403) 888-6336,channelcustombuilders,Builder,Infill,,Calgary,"ldol@larattahomes.com"",""2025-12-16T14:48:41-07:00"",""Jan 05 2026 09:46 AM"",""yyc_infill, calgary_multifamily, yyc_data1"" ""k7OxL2iOsdP5ffv8Uxzk"",,,""+14032438507"",""info@channelcustombuilders.com"",""2025-12",Calgary_Builders_and_Developers.csv | Calgary_Leads_Combined.csv | Calgary_Leads_For_GoHighLevel.csv | Calgary_Leads_For_GoHighLevel_PLUS247.csv | Calgary_Leads_For_GoHighLevel_PLUS247.xlsx | Export_Contacts_undefined_May_2026_10_54_PM.csv | Go High Level All Contacts.csv | library_contacts_Upload YYYC Infill .csv | library_contacts_YYYC_Infill_cleaned_E164.csv
email_contact,Custom Home,admin@activehomes.ca,(587) 524-1131; (780) 476-7070; (780) 481-6666; (780) 686-0053; (780) 938-3431; (780) 994-7016,activehomes,Builder,Land,,Calgary; Edmonton,"-24T10:43:52-06:00"",""Dec 06 2025 12:01 PM"",""infill_developer, developer_builders"" ""IPgeOBWFnLJfpPSfoOxo"",""Active"",""Homes - custom home builder"",""+15875241131"",""admin@activehomes.ca"",""2025-09-24T10:43:",Builders_Developers INFO (email_numbers) .xlsx - Sheet1.csv | Export_Contacts_undefined_May_2026_10_54_PM.csv | Go High Level All Contacts.csv | [Drive] Buyers_Developer_Builders_xlsx_1757717916.xlsx | [Drive] Contacts_Builders_1724863459.xlsx
email_contact,Custom Homes,info@capstonehomes.ca,(403) 457-1157,capstonehomes,Builder,Infill,,Calgary,"ll, yyc_data1"" ""bKAqlVbTdAezfPh7qWc4"",,,,""info@hockadayhomes.com"",""2025-12-16T20:49:59-07:00"",,""yyc_infill, yyc_data1"" ""G2dT73xyCEfZDFA4Dtni"",,,""+14034571157"",""info@capstonehomes.ca"",""2025-12-16T14:48",Calgary_Builders_and_Developers.csv | Calgary_Leads_Combined.csv | Calgary_Leads_For_GoHighLevel.csv | Calgary_Leads_For_GoHighLevel_PLUS247.csv | Calgary_Leads_For_GoHighLevel_PLUS247.xlsx | Export_Contacts_undefined_May_2026_10_54_PM.csv | Go High Level All Contacts.csv | library_contacts_Upload YYYC Infill .csv | library_contacts_YYYC_Infill_cleaned_E164.csv
email_contact,Custom Homes,nadja@deanmark.ca,(403) 630-1394; (403) 813-2769; (403) 975-6275,deanmark,Builder,Infill,,Calgary,"o@castellanohomes.com"",""2025-12-16T14:48:45-07:00"",""Jan 05 2026 09:43 AM"",""yyc_infill, calgary_multifamily, yyc_data1"" ""8SVfm0oFobWzGqBNRLHX"",,,""+14039756275"",""nadja@deanmark.ca"",""2025-12-16T14:48:45-",Calgary_Builders_and_Developers.csv | Calgary_Leads_Combined.csv | Calgary_Leads_For_GoHighLevel.csv | Calgary_Leads_For_GoHighLevel_PLUS247.csv | Calgary_Leads_For_GoHighLevel_PLUS247.xlsx | Export_Contacts_undefined_May_2026_10_54_PM.csv | Go High Level All Contacts.csv | library_contacts_Upload YYYC Infill .csv | library_contacts_YYYC_Infill_cleaned_E164.csv
email_contact,Custom Homes,hello@lt-homes.com,(403) 230-3318; (403) 252-4333; (403) 607-6166,lt-homes,Builder,Infill,New development,Calgary,",""info@sunsethomes.ca"",""2025-12-16T14:48:40-07:00"",""Jan 05 2026 09:52 AM"",""yyc_infill, calgary_multifamily, yyc_data1"" ""YkSuuEJ3wEjPQcN2knl2"",,,""+14032303318"",""hello@lt-homes.com"",""2025-12-16T14:48:40",Calgary_Builders_and_Developers.csv | Calgary_Leads_Combined.csv | Calgary_Leads_For_GoHighLevel.csv | Calgary_Leads_For_GoHighLevel_PLUS247.csv | Calgary_Leads_For_GoHighLevel_PLUS247.xlsx | Export_Contacts_undefined_May_2026_10_54_PM.csv | Go High Level All Contacts.csv | library_contacts_Upload YYYC Infill .csv | library_contacts_YYYC_Infill_cleaned_E164.csv
email_contact,Custom Homes,info@jagerhomes.com,(403) 452-3989; (403) 690-1000; (587) 917-2097; (780) 455-4446,jagerhomes,Builder,,,Calgary; Edmonton,"+18772971188"",,""2025-09-24T10:17:15-06:00"",""Oct 08 2025 03:30 PM"",""infill_developer, developer_builders"" ""FnnBrXtivFjw9CGsB00c"",""Jager"",""Homes"",""+15879172097"",""info@jagerhomes.com"",""2025-09-24T10:17:1",Calgary_Builders_List.csv | Calgary_Builders_List.xlsx | Export_Contacts_undefined_May_2026_10_54_PM.csv | Go High Level All Contacts.csv | [Drive] Buyers_Developer_Builders_xlsx_1757717916.xlsx
email_contact,David Nipius,info@triumphhomes.ca,(587) 338-2723; (780) 437-5513; (780) 884-2855,triumphhomes,Builder; Developer,Commercial,,Calgary; Edmonton,"7808180246"",,""2025-09-24T10:43:31-06:00"",""Jan 05 2026 11:42 AM"",""infill_developer, developer_builders"" ""8dTuDYKdwOd2VJs0HyIK"",""Triumph"",""Homes"",""+17808842855"",""info@triumphhomes.ca"",""2025-09-24T10:43:",Export_Contacts_undefined_May_2026_10_54_PM.csv | Go High Level All Contacts.csv | [Drive] Buyers_Developer_Builders_xlsx_1757717916.xlsx
email_contact,Daytona Homes,info@sehjashomes.ca,(780) 217-4733; (780) 452-2288; (780) 909-8055; (825) 459-8853,sehjashomes,Builder; Developer,,,Calgary; Edmonton,"0:29:27-06:00"",""Jan 13 2026 11:51 AM"",""infill_developer, developer_builders, infill_vip_yeg, yeg_8plex"" ""kUuUTd06uI1ri26tipqp"",""Sehjas"",""Homes"",""+18254598853"",""info@sehjashomes.ca"",""2025-09-24T10:29:2",Export_Contacts_undefined_May_2026_10_54_PM.csv | Go High Level All Contacts.csv | [Drive] Buyers_Developer_Builders_xlsx_1757717916.xlsx
email_contact,Design Solutions,info@primedesignsyyc.com,(403) 271-8333; (403) 681-2365; (403) 880-0604,primedesignsyyc,Builder,Infill,,Calgary,"1"" ""03vftBd2Am6qpmUKNbsH"",,,""+14032718333"",,""2025-12-16T20:50:00-07:00"",""Dec 18 2025 03:49 PM"",""yyc_infill, yyc_data1"" ""wMJvodVKK2AWypQ8vZkY"",,,""+14036812365"",""info@primedesignsyyc.com"",""2025-12-16T20",Calgary_City_Derived_Builders_Developers_Contacts.csv | Calgary_Leads_Combined.csv | Calgary_Leads_For_GoHighLevel.csv | Calgary_Leads_For_GoHighLevel_PLUS247.csv | Calgary_Leads_For_GoHighLevel_PLUS247.xlsx | Export_Contacts_undefined_May_2026_10_54_PM.csv | Go High Level All Contacts.csv | library_contacts_Upload YYYC Infill .csv | library_contacts_YYYC_Infill_cleaned_E164.csv
email_contact,Developments Ltd,info@amrik.ca,(587) 524-1131; (647) 247-7146; (780) 420-6868; (780) 975-9065,amrik,Builder; Developer,Land,,Calgary; Edmonton; Toronto,"."",""+15875233267"",,""2025-09-24T10:43:51-06:00"",""Dec 06 2025 12:01 PM"",""infill_developer, developer_builders"" ""azYUNw1mBk7u1I5Fc3Yw"",""Amrik"",""3"",""+17804206868"",""info@amrik.ca"",""2025-09-24T10:43:51-06:0",Export_Contacts_undefined_May_2026_10_54_PM.csv | Go High Level All Contacts.csv | [Drive] Buyers_Developer_Builders_xlsx_1757717916.xlsx
email_contact,Developments Ltd,urbanity@shaw.ca,(403) 589-3528; (780) 406-8022,,Builder,,,Calgary; Edmonton,"17:33-06:00"",""Jan 05 2026 02:51 PM"",""infill_developer, developer_builders, infill_vip_yeg"" ""073Q3AEkijgOCjB6wmXx"",""Urbanity"",""Custom homes ltd"",""+17804068022"",""urbanity@shaw.ca"",""2025-09-24T10:17:33-0",Export_Contacts_undefined_May_2026_10_54_PM.csv | Go High Level All Contacts.csv | [Drive] Buyers_Developer_Builders_xlsx_1757717916.xlsx
email_contact,,donedeey@gmail.com,(587) 982-1242; (780) 919-9328; (780) 952-9708,,Builder; Contractor,,,Calgary; Edmonton,"9058188"",,""2025-09-24T10:33:16-06:00"",""Jan 06 2026 08:42 AM"",""infill_developer, developer_builders"" ""emCrHApIRLgP1SEteaTk"",""Dreams"",""Homes ltd"",""+17809529708"",""donedeey@gmail.com"",""2025-09-24T10:33:14",Export_Contacts_undefined_May_2026_10_54_PM.csv | Go High Level All Contacts.csv | [Drive] Buyers_Developer_Builders_xlsx_1757717916.xlsx
email_contact,Dream Built,sales@dreambuilthome.ca,(403) 202-1813; (403) 226-3485; (403) 952-7404,dreambuilthome,Builder,,,Calgary,", yyc_infill"" ""Z23TpgZth8gUJ2pbmxwx"",,,""+14032437038"",,""2025-12-18T15:43:11-07:00"",""Dec 18 2025 03:49 PM"",""yyc_infill"" ""wKiIouLwd2S7sDxaVPmp"",,,""+14039527404"",""sales@dreambuilthome.ca"",""2025-12-18T15:",Calgary_Builders_List.csv | Calgary_Builders_List.xlsx | Export_Contacts_undefined_May_2026_10_54_PM.csv | Go High Level All Contacts.csv
email_contact,Edmonton Metro,info@bildedmonton.com,(825) 402-7979,bildedmonton,Builder,,,Calgary; Edmonton,⬜ 50 | Ashton Custom Homes | Contact form / website | Edmonton | MED | ⬜ TIER 6 — INDUSTRY NETWORKS (Reach 100s of Builders at Once) 51 | BILD Edmonton Metro | info@bildedmonton.com | Edmonton | ⭐ HIG,Lake_Ridge_Builder_Emails.xlsx
email_contact,Elegance Homes,info@elegance-homes.com,(587) 500-4464; (587) 500-9022; (587) 894-2836,elegance-homes,Builder,,,Calgary; Edmonton,"ta3yMwFE3AmvGXkkI9"",,,""+15875009022"",""info@mcnedra.ca"",""2025-12-18T15:43:08-07:00"",""Dec 29 2025 08:59 AM"",""yyc_infill"" ""j3dFxWB8qkWF6u8Uu0uU"",,,""+15875004464"",""info@elegance-homes.com"",""2025-12-18T15:",Calgary_Builders_List.csv | Calgary_Builders_List.xlsx | Export_Contacts_undefined_May_2026_10_54_PM.csv | Go High Level All Contacts.csv
email_contact,Ellwood Office,kelsey.siemens@rohitgroup.com,(587) 635-4200; (780) 436-9015; (780) 481-4375; (780) 886-3169,rohitgroup,Builder; Developer,Commercial; Land,,Calgary; Edmonton,"e, not north side"" ""July 4, 2024"",EVER Real Estate Developments Ltd.,587-635-4200,,forwarded to voicemail ""July 4, 2024"",Ellwood Office Park North,780-436-9015,kelsey.siemens@rohitgroup.com,interested",Builders_Developers INFO (email_numbers) .xlsx - Sheet1.csv | Export_Contacts_undefined_May_2026_10_54_PM.csv | [Drive] Buyers_1742680165---uploaded .xlsx | [Drive] Buyers_Developer_Builders_xlsx_1757717916.xlsx
email_contact,,ericilavia@gmail.com,(587) 983-8355; (647) 267-0651; (647) 300-1168; (647) 468-9131; (639) 471-2471,,Builder,Multifamily,,Calgary; Edmonton; Toronto; USA,| 6475370974.0 | Did not Ryan 2025-08-15 00:00:00 | pratham | 5879838355.0 | Not intrested. / Is a builder himself 2025-08-15 00:00:00 | Eric | 6472670651.0 | ericilavia@gmail.com 2025-08-15 00:00:00 ,Export_Contacts_undefined_May_2026_10_54_PM.csv | Go High Level All Contacts.csv | Multifamily Development INquired Cleints .xlsx | [Drive] organized_contacts.xlsx
